priority,run_id,phase,timepoint,replicate,article_id,variant_id,control_article_id,required_fields,gate_focus,activation_condition
11,NHIPEDOT-H-B-challenge_nhi_pedot_high_loading-R1-72hsoak,H-B,72 h soak,1,challenge_nhi_pedot_high_loading,nhi_pedot_high_loading_laminin,hydrogel_laminin_control,date;operator_or_agent;mea_coupon_id;electrode_material;hydrogel_matrix;pedot_pss_loading_fraction;pedot_pss_pre_rinse_protocol;laminin_or_peptide_density;crosslinking_protocol;sterilization_or_aseptic_protocol;medium_name;medium_lot;temperature_c;source_file;swelling_fraction;delamination_score;optical_transparency_fraction;eis_1khz_initial_ohm;eis_1khz_final_ohm;charge_storage_capacity_initial;charge_storage_capacity_final,physical_stability_gate;electrochemical_benefit_gate,after_H-A_pass
12,NHIPEDOT-H-B-challenge_nhi_pedot_high_loading-R1-post_cycling,H-B,post-cycling,1,challenge_nhi_pedot_high_loading,nhi_pedot_high_loading_laminin,hydrogel_laminin_control,date;operator_or_agent;mea_coupon_id;electrode_material;hydrogel_matrix;pedot_pss_loading_fraction;pedot_pss_pre_rinse_protocol;laminin_or_peptide_density;crosslinking_protocol;sterilization_or_aseptic_protocol;medium_name;medium_lot;temperature_c;source_file;swelling_fraction;delamination_score;optical_transparency_fraction;eis_1khz_initial_ohm;eis_1khz_final_ohm;charge_storage_capacity_initial;charge_storage_capacity_final,physical_stability_gate;electrochemical_benefit_gate,after_H-A_pass
13,NHIPEDOT-H-C-laminin_only_control-R1-24h,H-C,24 h,1,laminin_only_control,laminin_only_mea,no_coating_mea_control,date;operator_or_agent;mea_coupon_id;electrode_material;hydrogel_matrix;pedot_pss_loading_fraction;pedot_pss_pre_rinse_protocol;laminin_or_peptide_density;crosslinking_protocol;sterilization_or_aseptic_protocol;medium_name;medium_lot;temperature_c;source_file;cell_model;seeding_density;viability_fraction;ldh_fold_control;neurite_coverage_fraction;mean_neurite_length_um;electrode_yield_fraction;spike_rate_hz;burst_rate_hz,neural_health_gate;network_activity_gate,after_H-B_pass
14,NHIPEDOT-H-C-laminin_only_control-R1-7d,H-C,7 d,1,laminin_only_control,laminin_only_mea,no_coating_mea_control,date;operator_or_agent;mea_coupon_id;electrode_material;hydrogel_matrix;pedot_pss_loading_fraction;pedot_pss_pre_rinse_protocol;laminin_or_peptide_density;crosslinking_protocol;sterilization_or_aseptic_protocol;medium_name;medium_lot;temperature_c;source_file;cell_model;seeding_density;viability_fraction;ldh_fold_control;neurite_coverage_fraction;mean_neurite_length_um;electrode_yield_fraction;spike_rate_hz;burst_rate_hz,neural_health_gate;network_activity_gate,after_H-B_pass
15,NHIPEDOT-H-C-laminin_only_control-R1-14d,H-C,14 d,1,laminin_only_control,laminin_only_mea,no_coating_mea_control,date;operator_or_agent;mea_coupon_id;electrode_material;hydrogel_matrix;pedot_pss_loading_fraction;pedot_pss_pre_rinse_protocol;laminin_or_peptide_density;crosslinking_protocol;sterilization_or_aseptic_protocol;medium_name;medium_lot;temperature_c;source_file;cell_model;seeding_density;viability_fraction;ldh_fold_control;neurite_coverage_fraction;mean_neurite_length_um;electrode_yield_fraction;spike_rate_hz;burst_rate_hz,neural_health_gate;network_activity_gate,after_H-B_pass
16,NHIPEDOT-H-C-laminin_only_control-R1-28difearlygatespass,H-C,28 d if early gates pass,1,laminin_only_control,laminin_only_mea,no_coating_mea_control,date;operator_or_agent;mea_coupon_id;electrode_material;hydrogel_matrix;pedot_pss_loading_fraction;pedot_pss_pre_rinse_protocol;laminin_or_peptide_density;crosslinking_protocol;sterilization_or_aseptic_protocol;medium_name;medium_lot;temperature_c;source_file;cell_model;seeding_density;viability_fraction;ldh_fold_control;neurite_coverage_fraction;mean_neurite_length_um;electrode_yield_fraction;spike_rate_hz;burst_rate_hz,neural_health_gate;network_activity_gate,after_H-C_24h_7d_14d_early_gates_pass
17,NHIPEDOT-H-C-hydrogel_laminin_control-R1-24h,H-C,24 h,1,hydrogel_laminin_control,hydrogel_laminin_no_pedot,hydrogel_laminin_control,date;operator_or_agent;mea_coupon_id;electrode_material;hydrogel_matrix;pedot_pss_loading_fraction;pedot_pss_pre_rinse_protocol;laminin_or_peptide_density;crosslinking_protocol;sterilization_or_aseptic_protocol;medium_name;medium_lot;temperature_c;source_file;cell_model;seeding_density;viability_fraction;ldh_fold_control;neurite_coverage_fraction;mean_neurite_length_um;electrode_yield_fraction;spike_rate_hz;burst_rate_hz,neural_health_gate;network_activity_gate,after_H-B_pass
18,NHIPEDOT-H-C-hydrogel_laminin_control-R1-7d,H-C,7 d,1,hydrogel_laminin_control,hydrogel_laminin_no_pedot,hydrogel_laminin_control,date;operator_or_agent;mea_coupon_id;electrode_material;hydrogel_matrix;pedot_pss_loading_fraction;pedot_pss_pre_rinse_protocol;laminin_or_peptide_density;crosslinking_protocol;sterilization_or_aseptic_protocol;medium_name;medium_lot;temperature_c;source_file;cell_model;seeding_density;viability_fraction;ldh_fold_control;neurite_coverage_fraction;mean_neurite_length_um;electrode_yield_fraction;spike_rate_hz;burst_rate_hz,neural_health_gate;network_activity_gate,after_H-B_pass
19,NHIPEDOT-H-C-hydrogel_laminin_control-R1-14d,H-C,14 d,1,hydrogel_laminin_control,hydrogel_laminin_no_pedot,hydrogel_laminin_control,date;operator_or_agent;mea_coupon_id;electrode_material;hydrogel_matrix;pedot_pss_loading_fraction;pedot_pss_pre_rinse_protocol;laminin_or_peptide_density;crosslinking_protocol;sterilization_or_aseptic_protocol;medium_name;medium_lot;temperature_c;source_file;cell_model;seeding_density;viability_fraction;ldh_fold_control;neurite_coverage_fraction;mean_neurite_length_um;electrode_yield_fraction;spike_rate_hz;burst_rate_hz,neural_health_gate;network_activity_gate,after_H-B_pass
20,NHIPEDOT-H-C-hydrogel_laminin_control-R1-28difearlygatespass,H-C,28 d if early gates pass,1,hydrogel_laminin_control,hydrogel_laminin_no_pedot,hydrogel_laminin_control,date;operator_or_agent;mea_coupon_id;electrode_material;hydrogel_matrix;pedot_pss_loading_fraction;pedot_pss_pre_rinse_protocol;laminin_or_peptide_density;crosslinking_protocol;sterilization_or_aseptic_protocol;medium_name;medium_lot;temperature_c;source_file;cell_model;seeding_density;viability_fraction;ldh_fold_control;neurite_coverage_fraction;mean_neurite_length_um;electrode_yield_fraction;spike_rate_hz;burst_rate_hz,neural_health_gate;network_activity_gate,after_H-C_24h_7d_14d_early_gates_pass
21,NHIPEDOT-H-C-lead_nhi_pedot_low_loading-R1-24h,H-C,24 h,1,lead_nhi_pedot_low_loading,nhi_pedot_low_loading_laminin,hydrogel_laminin_control,date;operator_or_agent;mea_coupon_id;electrode_material;hydrogel_matrix;pedot_pss_loading_fraction;pedot_pss_pre_rinse_protocol;laminin_or_peptide_density;crosslinking_protocol;sterilization_or_aseptic_protocol;medium_name;medium_lot;temperature_c;source_file;cell_model;seeding_density;viability_fraction;ldh_fold_control;neurite_coverage_fraction;mean_neurite_length_um;electrode_yield_fraction;spike_rate_hz;burst_rate_hz,neural_health_gate;network_activity_gate,after_H-B_pass
22,NHIPEDOT-H-C-lead_nhi_pedot_low_loading-R1-7d,H-C,7 d,1,lead_nhi_pedot_low_loading,nhi_pedot_low_loading_laminin,hydrogel_laminin_control,date;operator_or_agent;mea_coupon_id;electrode_material;hydrogel_matrix;pedot_pss_loading_fraction;pedot_pss_pre_rinse_protocol;laminin_or_peptide_density;crosslinking_protocol;sterilization_or_aseptic_protocol;medium_name;medium_lot;temperature_c;source_file;cell_model;seeding_density;viability_fraction;ldh_fold_control;neurite_coverage_fraction;mean_neurite_length_um;electrode_yield_fraction;spike_rate_hz;burst_rate_hz,neural_health_gate;network_activity_gate,after_H-B_pass
23,NHIPEDOT-H-C-lead_nhi_pedot_low_loading-R1-14d,H-C,14 d,1,lead_nhi_pedot_low_loading,nhi_pedot_low_loading_laminin,hydrogel_laminin_control,date;operator_or_agent;mea_coupon_id;electrode_material;hydrogel_matrix;pedot_pss_loading_fraction;pedot_pss_pre_rinse_protocol;laminin_or_peptide_density;crosslinking_protocol;sterilization_or_aseptic_protocol;medium_name;medium_lot;temperature_c;source_file;cell_model;seeding_density;viability_fraction;ldh_fold_control;neurite_coverage_fraction;mean_neurite_length_um;electrode_yield_fraction;spike_rate_hz;burst_rate_hz,neural_health_gate;network_activity_gate,after_H-B_pass
24,NHIPEDOT-H-C-lead_nhi_pedot_low_loading-R1-28difearlygatespass,H-C,28 d if early gates pass,1,lead_nhi_pedot_low_loading,nhi_pedot_low_loading_laminin,hydrogel_laminin_control,date;operator_or_agent;mea_coupon_id;electrode_material;hydrogel_matrix;pedot_pss_loading_fraction;pedot_pss_pre_rinse_protocol;laminin_or_peptide_density;crosslinking_protocol;sterilization_or_aseptic_protocol;medium_name;medium_lot;temperature_c;source_file;cell_model;seeding_density;viability_fraction;ldh_fold_control;neurite_coverage_fraction;mean_neurite_length_um;electrode_yield_fraction;spike_rate_hz;burst_rate_hz,neural_health_gate;network_activity_gate,after_H-C_24h_7d_14d_early_gates_pass
25,NHIPEDOT-H-C-challenge_nhi_pedot_high_loading-R1-24h,H-C,24 h,1,challenge_nhi_pedot_high_loading,nhi_pedot_high_loading_laminin,hydrogel_laminin_control,date;operator_or_agent;mea_coupon_id;electrode_material;hydrogel_matrix;pedot_pss_loading_fraction;pedot_pss_pre_rinse_protocol;laminin_or_peptide_density;crosslinking_protocol;sterilization_or_aseptic_protocol;medium_name;medium_lot;temperature_c;source_file;cell_model;seeding_density;viability_fraction;ldh_fold_control;neurite_coverage_fraction;mean_neurite_length_um;electrode_yield_fraction;spike_rate_hz;burst_rate_hz,neural_health_gate;network_activity_gate,after_H-B_pass
26,NHIPEDOT-H-C-challenge_nhi_pedot_high_loading-R1-7d,H-C,7 d,1,challenge_nhi_pedot_high_loading,nhi_pedot_high_loading_laminin,hydrogel_laminin_control,date;operator_or_agent;mea_coupon_id;electrode_material;hydrogel_matrix;pedot_pss_loading_fraction;pedot_pss_pre_rinse_protocol;laminin_or_peptide_density;crosslinking_protocol;sterilization_or_aseptic_protocol;medium_name;medium_lot;temperature_c;source_file;cell_model;seeding_density;viability_fraction;ldh_fold_control;neurite_coverage_fraction;mean_neurite_length_um;electrode_yield_fraction;spike_rate_hz;burst_rate_hz,neural_health_gate;network_activity_gate,after_H-B_pass
27,NHIPEDOT-H-C-challenge_nhi_pedot_high_loading-R1-14d,H-C,14 d,1,challenge_nhi_pedot_high_loading,nhi_pedot_high_loading_laminin,hydrogel_laminin_control,date;operator_or_agent;mea_coupon_id;electrode_material;hydrogel_matrix;pedot_pss_loading_fraction;pedot_pss_pre_rinse_protocol;laminin_or_peptide_density;crosslinking_protocol;sterilization_or_aseptic_protocol;medium_name;medium_lot;temperature_c;source_file;cell_model;seeding_density;viability_fraction;ldh_fold_control;neurite_coverage_fraction;mean_neurite_length_um;electrode_yield_fraction;spike_rate_hz;burst_rate_hz,neural_health_gate;network_activity_gate,after_H-B_pass
28,NHIPEDOT-H-C-challenge_nhi_pedot_high_loading-R1-28difearlygatespass,H-C,28 d if early gates pass,1,challenge_nhi_pedot_high_loading,nhi_pedot_high_loading_laminin,hydrogel_laminin_control,date;operator_or_agent;mea_coupon_id;electrode_material;hydrogel_matrix;pedot_pss_loading_fraction;pedot_pss_pre_rinse_protocol;laminin_or_peptide_density;crosslinking_protocol;sterilization_or_aseptic_protocol;medium_name;medium_lot;temperature_c;source_file;cell_model;seeding_density;viability_fraction;ldh_fold_control;neurite_coverage_fraction;mean_neurite_length_um;electrode_yield_fraction;spike_rate_hz;burst_rate_hz,neural_health_gate;network_activity_gate,after_H-C_24h_7d_14d_early_gates_pass
