sample_id,run_id,article_id,timepoint,sample_event,replicate,planned_container_id,condition,storage_handling_notes,contents_note,required_readouts
NHIPEDOT-H-A-hydrogel_laminin_control-R1-72h-final,NHIPEDOT-H-A-hydrogel_laminin_control-R1-72h,hydrogel_laminin_control,72 h,final,1,H-A-17-HYDROGEL-LAMININ-C-72-H-FINAL,soft matrix control,"Keep sample identity and timepoint separated; record actual storage, transfer, and receipt conditions before entering measurements.",nonclinical R&D acellular medium/coupon sample; no live cells,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
NHIPEDOT-H-A-hydrogel_laminin_control-R1-72h-physical_inspection,NHIPEDOT-H-A-hydrogel_laminin_control-R1-72h,hydrogel_laminin_control,72 h,physical_inspection,1,H-A-18-HYDROGEL-LAMININ-C-72-H-PHYSICAL-INS,soft matrix control,"Keep sample identity and timepoint separated; record actual storage, transfer, and receipt conditions before entering measurements.",nonclinical R&D acellular medium/coupon sample; no live cells,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-0h-initial,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-0h,lead_nhi_pedot_low_loading,0 h,initial,1,H-A-19-LEAD-NHI-PEDOT-LOW-0-H-INITIAL,0.6 wt percent PEDOT:PSS lead,"Keep sample identity and timepoint separated; record actual storage, transfer, and receipt conditions before entering measurements.",nonclinical R&D acellular medium/coupon sample; no live cells,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-0h-final,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-0h,lead_nhi_pedot_low_loading,0 h,final,1,H-A-20-LEAD-NHI-PEDOT-LOW-0-H-FINAL,0.6 wt percent PEDOT:PSS lead,"Keep sample identity and timepoint separated; record actual storage, transfer, and receipt conditions before entering measurements.",nonclinical R&D acellular medium/coupon sample; no live cells,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-0h-physical_inspection,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-0h,lead_nhi_pedot_low_loading,0 h,physical_inspection,1,H-A-21-LEAD-NHI-PEDOT-LOW-0-H-PHYSICAL-INS,0.6 wt percent PEDOT:PSS lead,"Keep sample identity and timepoint separated; record actual storage, transfer, and receipt conditions before entering measurements.",nonclinical R&D acellular medium/coupon sample; no live cells,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h-initial,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,lead_nhi_pedot_low_loading,24 h,initial,1,H-A-22-LEAD-NHI-PEDOT-LOW-24-H-INITIAL,0.6 wt percent PEDOT:PSS lead,"Keep sample identity and timepoint separated; record actual storage, transfer, and receipt conditions before entering measurements.",nonclinical R&D acellular medium/coupon sample; no live cells,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h-final,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,lead_nhi_pedot_low_loading,24 h,final,1,H-A-23-LEAD-NHI-PEDOT-LOW-24-H-FINAL,0.6 wt percent PEDOT:PSS lead,"Keep sample identity and timepoint separated; record actual storage, transfer, and receipt conditions before entering measurements.",nonclinical R&D acellular medium/coupon sample; no live cells,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h-physical_inspection,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,lead_nhi_pedot_low_loading,24 h,physical_inspection,1,H-A-24-LEAD-NHI-PEDOT-LOW-24-H-PHYSICAL-INS,0.6 wt percent PEDOT:PSS lead,"Keep sample identity and timepoint separated; record actual storage, transfer, and receipt conditions before entering measurements.",nonclinical R&D acellular medium/coupon sample; no live cells,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-72h-initial,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-72h,lead_nhi_pedot_low_loading,72 h,initial,1,H-A-25-LEAD-NHI-PEDOT-LOW-72-H-INITIAL,0.6 wt percent PEDOT:PSS lead,"Keep sample identity and timepoint separated; record actual storage, transfer, and receipt conditions before entering measurements.",nonclinical R&D acellular medium/coupon sample; no live cells,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-72h-final,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-72h,lead_nhi_pedot_low_loading,72 h,final,1,H-A-26-LEAD-NHI-PEDOT-LOW-72-H-FINAL,0.6 wt percent PEDOT:PSS lead,"Keep sample identity and timepoint separated; record actual storage, transfer, and receipt conditions before entering measurements.",nonclinical R&D acellular medium/coupon sample; no live cells,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-72h-physical_inspection,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-72h,lead_nhi_pedot_low_loading,72 h,physical_inspection,1,H-A-27-LEAD-NHI-PEDOT-LOW-72-H-PHYSICAL-INS,0.6 wt percent PEDOT:PSS lead,"Keep sample identity and timepoint separated; record actual storage, transfer, and receipt conditions before entering measurements.",nonclinical R&D acellular medium/coupon sample; no live cells,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-0h-initial,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-0h,challenge_nhi_pedot_high_loading,0 h,initial,1,H-A-28-CHALLENGE-NHI-PEDO-0-H-INITIAL,1.2 wt percent PEDOT:PSS boundary comparator,"Keep sample identity and timepoint separated; record actual storage, transfer, and receipt conditions before entering measurements.",nonclinical R&D acellular medium/coupon sample; no live cells,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-0h-final,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-0h,challenge_nhi_pedot_high_loading,0 h,final,1,H-A-29-CHALLENGE-NHI-PEDO-0-H-FINAL,1.2 wt percent PEDOT:PSS boundary comparator,"Keep sample identity and timepoint separated; record actual storage, transfer, and receipt conditions before entering measurements.",nonclinical R&D acellular medium/coupon sample; no live cells,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-0h-physical_inspection,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-0h,challenge_nhi_pedot_high_loading,0 h,physical_inspection,1,H-A-30-CHALLENGE-NHI-PEDO-0-H-PHYSICAL-INS,1.2 wt percent PEDOT:PSS boundary comparator,"Keep sample identity and timepoint separated; record actual storage, transfer, and receipt conditions before entering measurements.",nonclinical R&D acellular medium/coupon sample; no live cells,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-24h-initial,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-24h,challenge_nhi_pedot_high_loading,24 h,initial,1,H-A-31-CHALLENGE-NHI-PEDO-24-H-INITIAL,1.2 wt percent PEDOT:PSS boundary comparator,"Keep sample identity and timepoint separated; record actual storage, transfer, and receipt conditions before entering measurements.",nonclinical R&D acellular medium/coupon sample; no live cells,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-24h-final,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-24h,challenge_nhi_pedot_high_loading,24 h,final,1,H-A-32-CHALLENGE-NHI-PEDO-24-H-FINAL,1.2 wt percent PEDOT:PSS boundary comparator,"Keep sample identity and timepoint separated; record actual storage, transfer, and receipt conditions before entering measurements.",nonclinical R&D acellular medium/coupon sample; no live cells,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-24h-physical_inspection,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-24h,challenge_nhi_pedot_high_loading,24 h,physical_inspection,1,H-A-33-CHALLENGE-NHI-PEDO-24-H-PHYSICAL-INS,1.2 wt percent PEDOT:PSS boundary comparator,"Keep sample identity and timepoint separated; record actual storage, transfer, and receipt conditions before entering measurements.",nonclinical R&D acellular medium/coupon sample; no live cells,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-72h-initial,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-72h,challenge_nhi_pedot_high_loading,72 h,initial,1,H-A-34-CHALLENGE-NHI-PEDO-72-H-INITIAL,1.2 wt percent PEDOT:PSS boundary comparator,"Keep sample identity and timepoint separated; record actual storage, transfer, and receipt conditions before entering measurements.",nonclinical R&D acellular medium/coupon sample; no live cells,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-72h-final,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-72h,challenge_nhi_pedot_high_loading,72 h,final,1,H-A-35-CHALLENGE-NHI-PEDO-72-H-FINAL,1.2 wt percent PEDOT:PSS boundary comparator,"Keep sample identity and timepoint separated; record actual storage, transfer, and receipt conditions before entering measurements.",nonclinical R&D acellular medium/coupon sample; no live cells,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-72h-physical_inspection,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-72h,challenge_nhi_pedot_high_loading,72 h,physical_inspection,1,H-A-36-CHALLENGE-NHI-PEDO-72-H-PHYSICAL-INS,1.2 wt percent PEDOT:PSS boundary comparator,"Keep sample identity and timepoint separated; record actual storage, transfer, and receipt conditions before entering measurements.",nonclinical R&D acellular medium/coupon sample; no live cells,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
