queue_order,run_id,phase,timepoint,replicate,article_id,variant_id,gate_role,readout_groups,must_have_fields,matched_control_key
11,ZRCND-A-lead_zrc_nd_3p5m_guard-R1-24h,A,24 h,1,lead_zrc_nd_3p5m_guard,zrc_nd_3p5k_mpc_guard,gate_evaluable,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;housing_material;initial_volume_ml;medium_lot;medium_name;membrane_area_cm2;membrane_lot;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;visible_precipitate,A|24 h|1
12,ZRCND-A-lead_zrc_nd_3p5m_guard-R1-4h,A,4 h,1,lead_zrc_nd_3p5m_guard,zrc_nd_3p5k_mpc_guard,gate_evaluable,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;housing_material;initial_volume_ml;medium_lot;medium_name;membrane_area_cm2;membrane_lot;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;visible_precipitate,A|4 h|1
13,ZRCND-A-no_module_static_control-R1-0h,A,0 h,1,no_module_static_control,,matched_control,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;initial_volume_ml;medium_lot;medium_name;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;temperature_c;visible_precipitate,A|0 h|1
14,ZRCND-A-no_module_static_control-R1-1h,A,1 h,1,no_module_static_control,,matched_control,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;initial_volume_ml;medium_lot;medium_name;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;temperature_c;visible_precipitate,A|1 h|1
15,ZRCND-A-no_module_static_control-R1-24h,A,24 h,1,no_module_static_control,,matched_control,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;initial_volume_ml;medium_lot;medium_name;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;temperature_c;visible_precipitate,A|24 h|1
16,ZRCND-A-no_module_static_control-R1-4h,A,4 h,1,no_module_static_control,,matched_control,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;initial_volume_ml;medium_lot;medium_name;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;temperature_c;visible_precipitate,A|4 h|1
17,ZRCND-A-baseline_rc_3p5m_guard-R2-0h,A,0 h,2,baseline_rc_3p5m_guard,zrc_nd_3p5k_unmodified_guard,baseline_snapshot,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;housing_material;initial_volume_ml;medium_lot;medium_name;membrane_area_cm2;membrane_lot;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;visible_precipitate,A|0 h|2
18,ZRCND-A-baseline_rc_3p5m_guard-R2-1h,A,1 h,2,baseline_rc_3p5m_guard,zrc_nd_3p5k_unmodified_guard,gate_evaluable,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;housing_material;initial_volume_ml;medium_lot;medium_name;membrane_area_cm2;membrane_lot;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;visible_precipitate,A|1 h|2
19,ZRCND-A-baseline_rc_3p5m_guard-R2-24h,A,24 h,2,baseline_rc_3p5m_guard,zrc_nd_3p5k_unmodified_guard,gate_evaluable,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;housing_material;initial_volume_ml;medium_lot;medium_name;membrane_area_cm2;membrane_lot;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;visible_precipitate,A|24 h|2
20,ZRCND-A-baseline_rc_3p5m_guard-R2-4h,A,4 h,2,baseline_rc_3p5m_guard,zrc_nd_3p5k_unmodified_guard,gate_evaluable,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;housing_material;initial_volume_ml;medium_lot;medium_name;membrane_area_cm2;membrane_lot;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;visible_precipitate,A|4 h|2
21,ZRCND-A-challenge_zrc_nd_10m_guard-R2-0h,A,0 h,2,challenge_zrc_nd_10m_guard,zrc_nd_10k_mpc_guard,baseline_snapshot,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;housing_material;initial_volume_ml;medium_lot;medium_name;membrane_area_cm2;membrane_lot;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;visible_precipitate,A|0 h|2
22,ZRCND-A-challenge_zrc_nd_10m_guard-R2-1h,A,1 h,2,challenge_zrc_nd_10m_guard,zrc_nd_10k_mpc_guard,gate_evaluable,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;housing_material;initial_volume_ml;medium_lot;medium_name;membrane_area_cm2;membrane_lot;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;visible_precipitate,A|1 h|2
23,ZRCND-A-challenge_zrc_nd_10m_guard-R2-24h,A,24 h,2,challenge_zrc_nd_10m_guard,zrc_nd_10k_mpc_guard,gate_evaluable,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;housing_material;initial_volume_ml;medium_lot;medium_name;membrane_area_cm2;membrane_lot;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;visible_precipitate,A|24 h|2
24,ZRCND-A-challenge_zrc_nd_10m_guard-R2-4h,A,4 h,2,challenge_zrc_nd_10m_guard,zrc_nd_10k_mpc_guard,gate_evaluable,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;housing_material;initial_volume_ml;medium_lot;medium_name;membrane_area_cm2;membrane_lot;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;visible_precipitate,A|4 h|2
25,ZRCND-A-lead_zrc_nd_3p5m_guard-R2-0h,A,0 h,2,lead_zrc_nd_3p5m_guard,zrc_nd_3p5k_mpc_guard,baseline_snapshot,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;housing_material;initial_volume_ml;medium_lot;medium_name;membrane_area_cm2;membrane_lot;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;visible_precipitate,A|0 h|2
26,ZRCND-A-lead_zrc_nd_3p5m_guard-R2-1h,A,1 h,2,lead_zrc_nd_3p5m_guard,zrc_nd_3p5k_mpc_guard,gate_evaluable,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;housing_material;initial_volume_ml;medium_lot;medium_name;membrane_area_cm2;membrane_lot;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;visible_precipitate,A|1 h|2
27,ZRCND-A-lead_zrc_nd_3p5m_guard-R2-24h,A,24 h,2,lead_zrc_nd_3p5m_guard,zrc_nd_3p5k_mpc_guard,gate_evaluable,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;housing_material;initial_volume_ml;medium_lot;medium_name;membrane_area_cm2;membrane_lot;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;visible_precipitate,A|24 h|2
28,ZRCND-A-lead_zrc_nd_3p5m_guard-R2-4h,A,4 h,2,lead_zrc_nd_3p5m_guard,zrc_nd_3p5k_mpc_guard,gate_evaluable,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;housing_material;initial_volume_ml;medium_lot;medium_name;membrane_area_cm2;membrane_lot;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;visible_precipitate,A|4 h|2
29,ZRCND-A-no_module_static_control-R2-0h,A,0 h,2,no_module_static_control,,matched_control,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;initial_volume_ml;medium_lot;medium_name;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;temperature_c;visible_precipitate,A|0 h|2
30,ZRCND-A-no_module_static_control-R2-1h,A,1 h,2,no_module_static_control,,matched_control,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;initial_volume_ml;medium_lot;medium_name;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;temperature_c;visible_precipitate,A|1 h|2
31,ZRCND-A-no_module_static_control-R2-24h,A,24 h,2,no_module_static_control,,matched_control,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;initial_volume_ml;medium_lot;medium_name;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;temperature_c;visible_precipitate,A|24 h|2
32,ZRCND-A-no_module_static_control-R2-4h,A,4 h,2,no_module_static_control,,matched_control,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;initial_volume_ml;medium_lot;medium_name;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;temperature_c;visible_precipitate,A|4 h|2
33,ZRCND-A-baseline_rc_3p5m_guard-R3-0h,A,0 h,3,baseline_rc_3p5m_guard,zrc_nd_3p5k_unmodified_guard,baseline_snapshot,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;housing_material;initial_volume_ml;medium_lot;medium_name;membrane_area_cm2;membrane_lot;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;visible_precipitate,A|0 h|3
34,ZRCND-A-baseline_rc_3p5m_guard-R3-1h,A,1 h,3,baseline_rc_3p5m_guard,zrc_nd_3p5k_unmodified_guard,gate_evaluable,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;housing_material;initial_volume_ml;medium_lot;medium_name;membrane_area_cm2;membrane_lot;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;visible_precipitate,A|1 h|3
35,ZRCND-A-baseline_rc_3p5m_guard-R3-24h,A,24 h,3,baseline_rc_3p5m_guard,zrc_nd_3p5k_unmodified_guard,gate_evaluable,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;housing_material;initial_volume_ml;medium_lot;medium_name;membrane_area_cm2;membrane_lot;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;visible_precipitate,A|24 h|3
36,ZRCND-A-baseline_rc_3p5m_guard-R3-4h,A,4 h,3,baseline_rc_3p5m_guard,zrc_nd_3p5k_unmodified_guard,gate_evaluable,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;housing_material;initial_volume_ml;medium_lot;medium_name;membrane_area_cm2;membrane_lot;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;visible_precipitate,A|4 h|3
37,ZRCND-A-challenge_zrc_nd_10m_guard-R3-0h,A,0 h,3,challenge_zrc_nd_10m_guard,zrc_nd_10k_mpc_guard,baseline_snapshot,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;housing_material;initial_volume_ml;medium_lot;medium_name;membrane_area_cm2;membrane_lot;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;visible_precipitate,A|0 h|3
38,ZRCND-A-challenge_zrc_nd_10m_guard-R3-1h,A,1 h,3,challenge_zrc_nd_10m_guard,zrc_nd_10k_mpc_guard,gate_evaluable,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;housing_material;initial_volume_ml;medium_lot;medium_name;membrane_area_cm2;membrane_lot;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;visible_precipitate,A|1 h|3
39,ZRCND-A-challenge_zrc_nd_10m_guard-R3-24h,A,24 h,3,challenge_zrc_nd_10m_guard,zrc_nd_10k_mpc_guard,gate_evaluable,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;housing_material;initial_volume_ml;medium_lot;medium_name;membrane_area_cm2;membrane_lot;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;visible_precipitate,A|24 h|3
40,ZRCND-A-challenge_zrc_nd_10m_guard-R3-4h,A,4 h,3,challenge_zrc_nd_10m_guard,zrc_nd_10k_mpc_guard,gate_evaluable,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;housing_material;initial_volume_ml;medium_lot;medium_name;membrane_area_cm2;membrane_lot;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;visible_precipitate,A|4 h|3
41,ZRCND-A-lead_zrc_nd_3p5m_guard-R3-0h,A,0 h,3,lead_zrc_nd_3p5m_guard,zrc_nd_3p5k_mpc_guard,baseline_snapshot,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;housing_material;initial_volume_ml;medium_lot;medium_name;membrane_area_cm2;membrane_lot;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;visible_precipitate,A|0 h|3
42,ZRCND-A-lead_zrc_nd_3p5m_guard-R3-1h,A,1 h,3,lead_zrc_nd_3p5m_guard,zrc_nd_3p5k_mpc_guard,gate_evaluable,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;housing_material;initial_volume_ml;medium_lot;medium_name;membrane_area_cm2;membrane_lot;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;visible_precipitate,A|1 h|3
43,ZRCND-A-lead_zrc_nd_3p5m_guard-R3-24h,A,24 h,3,lead_zrc_nd_3p5m_guard,zrc_nd_3p5k_mpc_guard,gate_evaluable,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;housing_material;initial_volume_ml;medium_lot;medium_name;membrane_area_cm2;membrane_lot;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;visible_precipitate,A|24 h|3
44,ZRCND-A-lead_zrc_nd_3p5m_guard-R3-4h,A,4 h,3,lead_zrc_nd_3p5m_guard,zrc_nd_3p5k_mpc_guard,gate_evaluable,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;housing_material;initial_volume_ml;medium_lot;medium_name;membrane_area_cm2;membrane_lot;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;visible_precipitate,A|4 h|3
45,ZRCND-A-no_module_static_control-R3-0h,A,0 h,3,no_module_static_control,,matched_control,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;initial_volume_ml;medium_lot;medium_name;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;temperature_c;visible_precipitate,A|0 h|3
46,ZRCND-A-no_module_static_control-R3-1h,A,1 h,3,no_module_static_control,,matched_control,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;initial_volume_ml;medium_lot;medium_name;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;temperature_c;visible_precipitate,A|1 h|3
47,ZRCND-A-no_module_static_control-R3-24h,A,24 h,3,no_module_static_control,,matched_control,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;initial_volume_ml;medium_lot;medium_name;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;temperature_c;visible_precipitate,A|24 h|3
48,ZRCND-A-no_module_static_control-R3-4h,A,4 h,3,no_module_static_control,,matched_control,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;initial_volume_ml;medium_lot;medium_name;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;temperature_c;visible_precipitate,A|4 h|3
49,ZRCND-B-baseline_rc_3p5m_guard-R1-0h,B,0 h,1,baseline_rc_3p5m_guard,zrc_nd_3p5k_unmodified_guard,baseline_snapshot,medium_integrity;waste_clearance;factor_retention;module_performance,albumin_final;albumin_initial;ammonia_final_uM;ammonia_initial_uM;bdnf_final_pg_ml;bdnf_initial_pg_ml;bubble_events;conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;flow_resistance_final;flow_resistance_initial;housing_material;initial_volume_ml;lactate_final_mM;lactate_initial_mM;medium_lot;medium_name;membrane_area_cm2;membrane_lot;ngf_final_pg_ml;ngf_initial_pg_ml;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;total_protein_final;total_protein_initial;transferrin_final;transferrin_initial;visible_precipitate,B|0 h|1
50,ZRCND-B-baseline_rc_3p5m_guard-R1-1h,B,1 h,1,baseline_rc_3p5m_guard,zrc_nd_3p5k_unmodified_guard,gate_evaluable,medium_integrity;waste_clearance;factor_retention;module_performance,albumin_final;albumin_initial;ammonia_final_uM;ammonia_initial_uM;bdnf_final_pg_ml;bdnf_initial_pg_ml;bubble_events;conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;flow_resistance_final;flow_resistance_initial;housing_material;initial_volume_ml;lactate_final_mM;lactate_initial_mM;medium_lot;medium_name;membrane_area_cm2;membrane_lot;ngf_final_pg_ml;ngf_initial_pg_ml;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;total_protein_final;total_protein_initial;transferrin_final;transferrin_initial;visible_precipitate,B|1 h|1
51,ZRCND-B-baseline_rc_3p5m_guard-R1-24h,B,24 h,1,baseline_rc_3p5m_guard,zrc_nd_3p5k_unmodified_guard,gate_evaluable,medium_integrity;waste_clearance;factor_retention;module_performance,albumin_final;albumin_initial;ammonia_final_uM;ammonia_initial_uM;bdnf_final_pg_ml;bdnf_initial_pg_ml;bubble_events;conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;flow_resistance_final;flow_resistance_initial;housing_material;initial_volume_ml;lactate_final_mM;lactate_initial_mM;medium_lot;medium_name;membrane_area_cm2;membrane_lot;ngf_final_pg_ml;ngf_initial_pg_ml;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;total_protein_final;total_protein_initial;transferrin_final;transferrin_initial;visible_precipitate,B|24 h|1
52,ZRCND-B-baseline_rc_3p5m_guard-R1-4h,B,4 h,1,baseline_rc_3p5m_guard,zrc_nd_3p5k_unmodified_guard,gate_evaluable,medium_integrity;waste_clearance;factor_retention;module_performance,albumin_final;albumin_initial;ammonia_final_uM;ammonia_initial_uM;bdnf_final_pg_ml;bdnf_initial_pg_ml;bubble_events;conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;flow_resistance_final;flow_resistance_initial;housing_material;initial_volume_ml;lactate_final_mM;lactate_initial_mM;medium_lot;medium_name;membrane_area_cm2;membrane_lot;ngf_final_pg_ml;ngf_initial_pg_ml;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;total_protein_final;total_protein_initial;transferrin_final;transferrin_initial;visible_precipitate,B|4 h|1
53,ZRCND-B-challenge_zrc_nd_10m_guard-R1-0h,B,0 h,1,challenge_zrc_nd_10m_guard,zrc_nd_10k_mpc_guard,baseline_snapshot,medium_integrity;waste_clearance;factor_retention;module_performance,albumin_final;albumin_initial;ammonia_final_uM;ammonia_initial_uM;bdnf_final_pg_ml;bdnf_initial_pg_ml;bubble_events;conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;flow_resistance_final;flow_resistance_initial;housing_material;initial_volume_ml;lactate_final_mM;lactate_initial_mM;medium_lot;medium_name;membrane_area_cm2;membrane_lot;ngf_final_pg_ml;ngf_initial_pg_ml;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;total_protein_final;total_protein_initial;transferrin_final;transferrin_initial;visible_precipitate,B|0 h|1
54,ZRCND-B-challenge_zrc_nd_10m_guard-R1-1h,B,1 h,1,challenge_zrc_nd_10m_guard,zrc_nd_10k_mpc_guard,gate_evaluable,medium_integrity;waste_clearance;factor_retention;module_performance,albumin_final;albumin_initial;ammonia_final_uM;ammonia_initial_uM;bdnf_final_pg_ml;bdnf_initial_pg_ml;bubble_events;conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;flow_resistance_final;flow_resistance_initial;housing_material;initial_volume_ml;lactate_final_mM;lactate_initial_mM;medium_lot;medium_name;membrane_area_cm2;membrane_lot;ngf_final_pg_ml;ngf_initial_pg_ml;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;total_protein_final;total_protein_initial;transferrin_final;transferrin_initial;visible_precipitate,B|1 h|1
