profile,run_id,phase,sample_event,target_field,measured_at,operator_or_agent,instrument_id,value,unit,source_file_to_save_as,source_file_requirement,method_or_record_id,notes,osmolality_mOsm_kg,osmometer_id,report_id,vendor_or_lab
h_a,NHIPEDOT-H-A-hydrogel_laminin_control-R1-72h,,initial,osmolality,,,,,mOsm/kg,data/nhi_pedot_h_a_vendor_return_inbox/external_lab_exports/NHIPEDOT-H-A-hydrogel_laminin_control-R1-72h/initial_osmolality_osmometer_report_or_export.pdf,Osmometer report/export reconciled to run_id.,,,,,,
h_a,NHIPEDOT-H-A-hydrogel_laminin_control-R1-72h,,final,osmolality,,,,,mOsm/kg,data/nhi_pedot_h_a_vendor_return_inbox/external_lab_exports/NHIPEDOT-H-A-hydrogel_laminin_control-R1-72h/final_osmolality_osmometer_report_or_export.pdf,Osmometer report/export reconciled to run_id.,,,,,,
h_a,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-0h,,initial,osmolality,,,,,mOsm/kg,data/nhi_pedot_h_a_vendor_return_inbox/external_lab_exports/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-0h/initial_osmolality_osmometer_report_or_export.pdf,Osmometer report/export reconciled to run_id.,,,,,,
h_a,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-0h,,final,osmolality,,,,,mOsm/kg,data/nhi_pedot_h_a_vendor_return_inbox/external_lab_exports/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-0h/final_osmolality_osmometer_report_or_export.pdf,Osmometer report/export reconciled to run_id.,,,,,,
h_a,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,,initial,osmolality,,,,,mOsm/kg,data/nhi_pedot_h_a_vendor_return_inbox/external_lab_exports/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/initial_osmolality_osmometer_report_or_export.pdf,Osmometer report/export reconciled to run_id.,,,,,,
h_a,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,,final,osmolality,,,,,mOsm/kg,data/nhi_pedot_h_a_vendor_return_inbox/external_lab_exports/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/final_osmolality_osmometer_report_or_export.pdf,Osmometer report/export reconciled to run_id.,,,,,,
h_a,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-72h,,initial,osmolality,,,,,mOsm/kg,data/nhi_pedot_h_a_vendor_return_inbox/external_lab_exports/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-72h/initial_osmolality_osmometer_report_or_export.pdf,Osmometer report/export reconciled to run_id.,,,,,,
h_a,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-72h,,final,osmolality,,,,,mOsm/kg,data/nhi_pedot_h_a_vendor_return_inbox/external_lab_exports/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-72h/final_osmolality_osmometer_report_or_export.pdf,Osmometer report/export reconciled to run_id.,,,,,,
h_a,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-0h,,initial,osmolality,,,,,mOsm/kg,data/nhi_pedot_h_a_vendor_return_inbox/external_lab_exports/NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-0h/initial_osmolality_osmometer_report_or_export.pdf,Osmometer report/export reconciled to run_id.,,,,,,
h_a,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-0h,,final,osmolality,,,,,mOsm/kg,data/nhi_pedot_h_a_vendor_return_inbox/external_lab_exports/NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-0h/final_osmolality_osmometer_report_or_export.pdf,Osmometer report/export reconciled to run_id.,,,,,,
h_a,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-24h,,initial,osmolality,,,,,mOsm/kg,data/nhi_pedot_h_a_vendor_return_inbox/external_lab_exports/NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-24h/initial_osmolality_osmometer_report_or_export.pdf,Osmometer report/export reconciled to run_id.,,,,,,
h_a,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-24h,,final,osmolality,,,,,mOsm/kg,data/nhi_pedot_h_a_vendor_return_inbox/external_lab_exports/NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-24h/final_osmolality_osmometer_report_or_export.pdf,Osmometer report/export reconciled to run_id.,,,,,,
h_a,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-72h,,initial,osmolality,,,,,mOsm/kg,data/nhi_pedot_h_a_vendor_return_inbox/external_lab_exports/NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-72h/initial_osmolality_osmometer_report_or_export.pdf,Osmometer report/export reconciled to run_id.,,,,,,
h_a,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-72h,,final,osmolality,,,,,mOsm/kg,data/nhi_pedot_h_a_vendor_return_inbox/external_lab_exports/NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-72h/final_osmolality_osmometer_report_or_export.pdf,Osmometer report/export reconciled to run_id.,,,,,,
